id,ticker,name,sector,probability,up,down
338,NSC,Norfolk Southern,Industrials,0.5291,1.012,0.9877
467,VLO,Valero Energy,Energy,0.5155,1.018,0.9819
178,ESS,Essex Property Trust,Real Estate,0.5187,1.01,0.9889
3,ABT,Abbott Laboratories,Health Care,0.5426,1.01,0.9894
387,QCOM,Qualcomm,Information Technology,0.5195,1.015,0.9849
306,MCD,McDonald's,Consumer Discretionary,0.5339,1.008,0.9915
459,UAA,Under Armour (Class A),Consumer Discretionary,0.5116,1.021,0.9783
96,CE,Celanese,Materials,0.4948,1.015,0.9859
472,VRTX,Vertex Pharmaceuticals,Health Care,0.5307,1.012,0.9875
155,DPZ,Domino's Pizza,Consumer Discretionary,0.5139,1.012,0.9884
181,RE,Everest Re,Financials,0.5275,1.011,0.9884
65,BRK.B,Berkshire Hathaway,Financials,0.5147,1.009,0.9916
504,ZION,Zions Bancorp,Financials,0.5076,1.016,0.9844
446,TMO,Thermo Fisher Scientific,Health Care,0.5458,1.011,0.9884
298,MKTX,MarketAxess,Financials,0.5299,1.013,0.9859
